,Area (m2),Property Type,Bedrooms,Bathrooms,Address,Law Document,Quarter,Year,Latitude,Longitude,Postal Code,Importance,Place Rank,City,Price (billion VND)
33496,116.0,4.0,4.0,2.0,6380.0,5.0,3.0,2020.0,21.07491719806205,105.7820768298828,12500.0,0.0534061638818951,26.0,1.0,23.0
12902,76.0,0.0,2.0,2.0,2317.0,4.0,4.0,2020.0,20.983687,105.848156,11617.0,0.0534061638818951,26.0,1.0,2.3
20252,51.0,3.0,3.0,3.0,5788.0,3.0,2.0,2019.0,20.99325,105.84958,11617.0,7.283054856179167e-05,30.0,1.0,2.3
34691,255.0,4.0,4.0,2.0,6977.0,5.0,3.0,2019.0,10.876248,106.660338,71514.0,0.0534003669794765,26.0,1.0,12.77
21961,26.0,3.0,4.0,2.0,2583.0,3.0,2.0,2019.0,21.01936,105.83297,10017.0,7.283054856179167e-05,30.0,1.0,2.8
29368,52.0,2.0,1.0,1.0,4508.0,6.0,4.0,2021.0,21.0012748,105.8393044,10181.0,0.3394014279868064,30.0,1.0,1.53
16565,45.0,3.0,4.0,2.0,2824.0,5.0,4.0,2022.0,21.0362368,105.7905825,10141.0,0.0534061638818951,26.0,1.0,4.9
35975,120.0,4.0,4.0,2.0,5290.0,5.0,1.0,2022.0,20.9906275,105.888584,11622.0,7.283054856179167e-05,30.0,1.0,13.0
28188,58.0,2.0,4.0,4.0,3769.0,3.0,4.0,2021.0,10.8019128,106.7647475,71210.0,0.0534003669794765,26.0,1.0,5.8
26443,105.0,2.0,4.0,2.0,7213.0,5.0,2.0,2024.0,21.0349893,105.7938017,10141.0,7.283054856179167e-05,30.0,1.0,17.5
18716,40.0,3.0,4.0,2.0,2361.0,5.0,1.0,2020.0,21.0461113,105.7933552,10179.0,0.0534061638818951,26.0,1.0,8.0
19581,39.0,3.0,4.0,2.0,4159.0,5.0,2.0,2019.0,21.01952,105.8278,10178.0,7.283054856179167e-05,30.0,1.0,3.5
24772,50.0,2.0,4.0,2.0,2803.0,5.0,4.0,2021.0,20.955835,105.7563658,10170.0,0.0534061638818951,26.0,1.0,9.3
21483,50.0,3.0,4.0,2.0,1833.0,5.0,2.0,2019.0,21.0303,105.78619,10192.0,0.0534061638818951,26.0,1.0,7.1
22437,81.0,3.0,3.0,3.0,2116.0,6.0,2.0,2021.0,10.876248,106.660338,71514.0,0.0534003669794765,26.0,1.0,5.5
6389,48.0,2.0,2.0,2.0,1732.0,6.0,4.0,2022.0,10.812316151267522,106.63074018434465,72011.0,0.0534003669794765,26.0,0.0,3.5
33346,100.0,4.0,4.0,2.0,2686.0,5.0,4.0,2020.0,20.955835,105.7563658,10170.0,0.0534061638818951,26.0,1.0,0.22
32986,200.0,4.0,4.0,5.0,4416.0,5.0,3.0,2021.0,20.9565397,105.7347061,10170.0,0.0534061638818951,26.0,1.0,0.5
28953,81.0,2.0,4.0,2.0,3705.0,5.0,2.0,2021.0,21.02763379601052,105.84164952065431,11018.0,7.283054856179167e-05,30.0,1.0,20.0
24475,141.0,2.0,8.0,8.0,5666.0,6.0,2.0,2022.0,21.031792,105.7884835,10141.0,0.0534061638818951,26.0,1.0,65.0
4447,73.3,2.0,2.0,2.0,1685.0,6.0,4.0,2023.0,10.811615381418704,106.69826677930236,72317.0,0.0534003669794765,26.0,0.0,10.7
9536,83.0,0.0,2.0,2.0,6365.0,5.0,1.0,2021.0,21.0811211,105.8180306,10206.0,0.0534061638818951,26.0,1.0,3.3
23716,22.0,2.0,4.0,2.0,1753.0,5.0,2.0,2024.0,10.7971686,106.6756073,72215.0,0.0534003669794765,26.0,1.0,3.9
19080,62.0,3.0,4.0,2.0,1438.0,3.0,2.0,2019.0,21.04807,105.80628,10072.0,0.0534061638818951,26.0,1.0,9.2
2059,66.63,0.0,2.0,2.0,6013.0,4.0,4.0,2022.0,10.741414649168512,106.6143745165711,73118.0,0.0534003669794765,26.0,0.0,4.24
22191,107.0,3.0,5.0,5.0,6744.0,5.0,2.0,2020.0,21.0040377,105.8482737,10181.0,0.3850986325550231,30.0,1.0,11.5
830,148.7,0.0,3.0,3.0,3266.0,4.0,3.0,2023.0,10.7745728,106.7248933,77000.0,0.0534003669794765,26.0,0.0,23.5
19603,32.0,3.0,3.0,2.0,3495.0,6.0,2.0,2019.0,21.03864,105.86956,11008.0,0.0400728305485618,27.0,1.0,2.55
3595,65.0,0.0,2.0,2.0,5809.0,4.0,3.0,2022.0,10.8358297,106.619436,71509.0,0.0534003669794765,26.0,0.0,2.4
24006,96.0,2.0,6.0,6.0,6902.0,6.0,3.0,2023.0,20.9852277,105.9318012,10000.0,0.0534061638818951,26.0,1.0,19.0
