,Area (m2),Property Type,Bedrooms,Bathrooms,Address,Law Document,Quarter,Year,Latitude,Longitude,Postal Code,Importance,Place Rank,City,Price (billion VND)
27631,101.2,2.0,3.0,2.0,799.0,5.0,2.0,2022.0,21.0000938,105.8002375,10055.0,7.283054856179167e-05,30.0,1.0,2.6
35028,100.0,4.0,4.0,2.0,5396.0,4.0,3.0,2020.0,20.952209,105.7932566,10156.0,0.0400728305485618,27.0,1.0,0.26
33883,200.0,4.0,4.0,2.0,7311.0,5.0,4.0,2019.0,21.0156301,105.94621840000002,8443.0,0.0534061638818951,26.0,1.0,8.9
7612,48.65,2.0,1.0,1.0,6072.0,6.0,3.0,2022.0,10.876044528732209,106.73193254281142,75207.0,0.0534003669794765,26.0,0.0,3.3
3764,98.11,0.0,3.0,2.0,3925.0,4.0,3.0,2021.0,10.701207511528706,106.7147017489074,72915.0,0.0534003669794765,26.0,0.0,5.38
20209,39.0,3.0,3.0,3.0,7216.0,3.0,2.0,2019.0,21.03153,105.79907,10198.0,0.0400728305485618,27.0,1.0,4.95
4374,336.0,2.0,7.0,5.0,1586.0,6.0,3.0,2023.0,10.788634,106.646096,72117.0,0.0534003669794765,26.0,0.0,16.8
19290,40.0,3.0,6.0,2.0,7202.0,3.0,2.0,2019.0,21.04262,105.80742,10072.0,0.0400728305485618,27.0,1.0,3.8
23551,107.0,3.0,4.0,2.0,5613.0,5.0,3.0,2024.0,21.0106758,105.7995616,10055.0,0.0534061638818951,26.0,1.0,22.0
32857,70.0,4.0,3.0,4.0,1743.0,3.0,4.0,2021.0,21.13486144624955,105.86249266872557,12323.0,0.0534061638818951,26.0,1.0,7.5
16543,38.0,3.0,11.0,2.0,5705.0,2.0,4.0,2022.0,20.9845891,105.7995813,12011.0,0.0534061638818951,26.0,1.0,5.9
5801,70.0,2.0,2.0,1.0,1470.0,6.0,4.0,2022.0,10.74550285,106.65506690316631,10000.0,0.1067337003128099,22.0,0.0,5.0
19330,45.0,3.0,2.0,2.0,6421.0,3.0,2.0,2019.0,21.02904,105.7984,10198.0,7.283054856179167e-05,30.0,1.0,4.5
7756,86.0,2.0,3.0,2.0,7552.0,6.0,3.0,2022.0,10.79217451551287,106.66785340243858,72215.0,0.0534003669794765,26.0,0.0,8.5
638,115.0,0.0,3.0,2.0,3923.0,6.0,3.0,2023.0,10.793902081990852,106.71816003879228,72508.0,0.0534003669794765,26.0,0.0,11.8
